ID,QUESTION,CLASS,ANSWER,Answerfirstsent,AnswerAdjectives,AnswerNouns,AnswerEntities,QuestionsAdjectives,QuestionsNouns,QuestionsEntities
296,What is testosterone?,informationanddefinition,Food is thought to have an impact on testosterone levels in both men and women. For info on specific foods that will boost your testosterone levels feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/foods-boost-testosterone/,food is thought to have an impact on testosterone levels in both men and women.,[],"['food', 'impact', 'testosterone', 'levels', 'men', 'women']","['food', 'impact', 'testosterone levels', 'women', 'men']",[],['testosterone'],['testosterone']
297,Is it safe for a child to be on a low carb diet?,informationanddefinition,"For young children that have diabetes, a low carb approach can be a safe and effective way to keep blood glucose levels within a healthy range without the use of insulin. Of course, before you make a decision like this it is advised that you consult a healthcare professional. For more info on whether it is safe for children to go low carb feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/children-go-low-carb/","for young children that have diabetes, a low carb approach can be a safe and effective way to keep blood glucose levels within a healthy range without the use of insulin.","['young', 'low', 'safe', 'effective', 'healthy']","['children', 'diabetes', 'carb', 'approach', 'way', 'blood', 'glucose', 'levels', 'range', 'use', 'insulin']","['approach', 'children', 'diabetes', 'range', 'use', 'insulin', 'blood glucose levels']","['safe', 'low']","['child', 'carb', 'diet']","['child', 'diet']"
298,What are statins?,informationanddefinition,Statins are a cholesterol lowering medications that are very commonly prescribed.,statins are a cholesterol lowering medications that are very commonly prescribed.,[],"['statins', 'cholesterol', 'medications']","['statins', 'medications', 'cholesterol']",[],['statins'],['statins']
299,"I've been prescribed statins, should I take them?","informationanddefinition
","Of course, this is a very personal decision to make. The decision to take, or not take, statins is yours as a patient. You should not feel under pressure either way to take or not them. This guide has been developed to give you more information, in order to allow you to make an informed decision. https://www.diabetes.co.uk/lowcarb/life/how-beneficial-are-statins/","of course, this is a very personal decision to make.",['personal'],"['course', 'decision']","['decision', 'course']",[],['statins'],['statins']
300,Can I exercise intensely on a low carb diet,informationanddefinition,"Despite popular misconception, many high-level athletes train and perform on low carb diets. One example being Chris Froome who has won the Tour De France multiple times. To read more about his story, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-advocate-chris-froome-begins-bid-for-fourth-tour-de-france/","despite popular misconception, many high-level athletes train and perform on low carb diets.","['popular', 'many', 'high', 'low']","['misconception', 'level', 'athletes', 'carb', 'diets']","['misconception', 'athletes', 'diets']",['low'],"['carb', 'diet']",['diet']
301,Is low carb just for people with type 2?,informationanddefinition,"Despite type 1 and type 2 occurring via different mechanisms, both are related to an inability to create, process or use insulin. When this occurs, glucose is no longer efficiently absorbed into cells and stays in the blood stream. Long term, this can be quite damaging. Regardless of your type of diabetes, consuming fewer carbs can be very beneficial, even resulting in a significant decrease in medicine use.","despite type 1 and type 2 occurring via different mechanisms, both are related to an inability to create, process or use insulin.",['different'],"['type', 'type', 'mechanisms', 'inability', 'process', 'insulin']","['type 1', 'type', 'mechanisms', 'both', 'process', 'insulin', 'inability']",['low'],"['carb', 'people', 'type']","['carb', 'people']"
302,Can I use sweeteners?,informationanddefinition,"Generally speaking, the Low Carb Program looks to stay away from sweeteners. This is as they’ve been shown to increase caloric intake and make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. However, if you have to make the choice between the sugary and sugar free version it is better to take the sugar free version. Of course, moderation is key.","generally speaking, the low carb program looks to stay away from sweeteners.",['low'],"['carb', 'program', 'sweeteners']","['program', 'sweeteners']",[],['sweeteners'],['sweeteners']
303,Will low carb help to lower my sodium levels? ,management,"One aspect of low carb dieting that is especially helpful for heart health is related to insulins impact on the kidneys, and thus your sodium levels. In addition to its role in glucose storage, insulin has been shown to increase kidney re-absorption of sodium. When you follow a low carb diet your insulin levels are lowered. This results in the kidneys drastically lowering their rate of re-absorption of sodium and water, leading to lower sodium levels and blood pressure. This makes the Low Carb Program an excellent dietary strategy to combat high blood pressure. For other practical ways to lower your salt intake, look to stay away from highly processed meats like bacon, sausages, cold cuts and frozen breaded meats. Canned and pickled vegetables, canned soup, seasonings and condiments can all be chocked full of salt. Its definitely worth checking the labels.","one aspect of low carb dieting that is especially helpful for heart health is related to insulins impact on the kidneys, and thus your sodium levels.","['low', 'helpful']","['aspect', 'carb', 'dieting', 'heart', 'health', 'insulins', 'impact', 'kidneys', 'sodium', 'levels']","['aspect', 'dieting', 'heart health', 'insulins impact', 'sodium levels', 'kidneys']",['low'],"['carb', 'help', 'sodium', 'levels']","['help', 'sodium levels']"
304,Can low carb cause depression?,cause,"Many people worry that following a low carb diet will cause them to become slow, irritable and depressed. However, in people that arent predisposed to depression there is no evidence to suggest this. Being on a low carb diet actually levels out your energy levels, stopping you from crashing and potentially feeling depressed. To read more about low carb and depression feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/can-low-carb-cause-depression/","many people worry that following a low carb diet will cause them to become slow, irritable and depressed.","['many', 'low', 'slow', 'irritable', 'depressed']","['people', 'carb', 'diet']","['people', 'diet']",['low'],"['carb', 'cause', 'depression']",['depression']
305,Will low carb help my epilepsy?,management,Very low carb ketogenic diets have been used since the 1920s to treat epilepsy. For more info on how low carb can help to treat epilepsy feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/can-low-carb-free-people-epilepsy/,very low carb ketogenic diets have been used since the 1920s to treat epilepsy.,['low'],"['carb', 'ketogenic', 'diets', '1920s', 'epilepsy']","['ketogenic diets', 'epilepsy']",['low'],"['carb', 'epilepsy']","['carb', 'epilepsy']"
306,Will eating low carb cause nutrient deficiencies?,cause,"Despite some versions of LCHF diet focussing very heavily on fat whilst neglecting protein and fibre rich foods. However, the Low Carb Program looks to focus on consuming a variety of nutrient dense low carb foods to stop deficiencies occurring. To read more about nutrient deficiencies, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/can-low-carb-diets-lead-nutrient-deficiencies/",despite some versions of lchf diet focussing very heavily on fat whilst neglecting protein and fibre rich foods.,['rich'],"['versions', 'lchf', 'diet', 'fat', 'protein', 'fibre', 'foods']","['versions', 'lchf diet', 'fat', 'foods', 'protein']",['low'],"['carb', 'cause', 'nutrient', 'deficiencies']",['nutrient deficiencies']
307,What are trans fats?,informationanddefinition,"There are two types of trans fats, the natural kind, and the artificial kind. Natural trans fatty acids can be found in dairy, lamb, pork and beef. In moderation, studies have shown that these fats aren’t as bad as their artificial cousins. Artificial trans fats, which are manufactured to increase the shelf life of foods, have been linked to increasing LDL (bad cholesterol) and decreasing HDL (good cholesterol). LDL is known as “bad cholesterol”. This is as it contributes to fatty plaque build-ups in arteries. Thus causing atherosclerosis and raising the risk of heart attack, peripheral artery disease and stroke. To read more about trans fats feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/trans-fats-avoiding/","there are two types of trans fats, the natural kind, and the artificial kind.","['natural', 'artificial']","['types', 'trans', 'fats', 'kind', 'kind']","['types', 'kind', 'trans fats', 'kind']",[],"['trans', 'fats']",['trans fats']
308,What do I do first on the program?,informationanddefinition,"Start by watching the weekly program lessons, answering the questions to test your knowledge and then following the action points for the week. You can start to track your weight loss, blood pressure, blood glucose, HbA1c, cholesterol levels and any other metrics you feel are noteworthy on the dashboard. This is helpful as it will give you a visible guide of your progress and will make your goals feel much more achievable. In terms of what you should actually eat, it will all be covered in the weekly videos, but for a quick overview you should be cutting sugar out or at least down to very low levels. That means cutting out things like chocolate, cake, ice-cream, and sugary drinks. Also looking to decrease carbohydrate consumption to under 150g per day. That means cutting back on starchy foods like pasta, rice, bread, potato, pastries, cereal and crisps. Look instead to eat fresh vegetables and increase your healthy fat consumption by eating cuts of meat, fish, dairy (excluding milk) seeds, nuts, avocado and olives/olive oil. For cooking try using butter, lard or coconut oils. There are a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving. This may seem like a lot to take in, but the program is designed to introduce you slowly.","start by watching the weekly program lessons, answering the questions to test your knowledge and then following the action points for the week.",['weekly'],"['start', 'program', 'lessons', 'questions', 'knowledge', 'action', 'points', 'week']","['program lessons', 'questions', 'knowledge', 'action points']",[],['program'],['program']
309,Should I sugar detox?,informationanddefinition,"There are many reasons why a sugar cleanse is beneficial. For instance, if you feel like you have an unhealthy relationship with any specific type of food (for me it’s always been chocolate) then this is a perfect way to dump said food. This is especially important as millions of people have very damaging food addictions. To read more about how to do a sugar detox feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/how-to-sugar-detox-2/ ",there are many reasons why a sugar cleanse is beneficial.,"['many', 'beneficial']","['reasons', 'sugar', 'cleanse']","['reasons', 'sugar cleanse']",[],"['sugar', 'detox']",['sugar detox']
310,Does low carb cause thyroid problem?,cause,"Some evidence has suggested that in certain cases low carb dieting may impact your thyroid hormone conversion. However, this is only apparent in some people. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-bad-thyroid/",some evidence has suggested that in certain cases low carb dieting may impact your thyroid hormone conversion.,"['certain', 'low']","['evidence', 'cases', 'carb', 'dieting', 'thyroid', 'hormone', 'conversion']","['evidence', 'cases', 'dieting', 'thyroid hormone conversion']",['low'],"['carb', 'cause', 'thyroid', 'problem']",['thyroid problem']
311,Do I need to eat carbs before exercise?,informationanddefinition,"The simple answer, no. For normal exercise intensity, LCHF dieting is perfectly safe and will also be beneficial for weight loss. However, for long distance runners and people exercising at moderate to high intensity for over 90 minutes, carbs may be needed. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/myth-buster-exercise-requires-carb-ing/","the simple answer, no.",['simple'],['answer'],['answer'],[],"['carbs', 'exercise']","['carbs', 'exercise']"
312,What does no refined sugar mean?,informationanddefinition,"‘No refined sugar’ means that the food contains no sugar that’s been refined. However, it may still contain plenty of unrefined sugar. These foods aren’t sugar free. To learn more about refined sugar feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/is-no-refined-sugar-a-sign-of-healthy-food/",‘no refined sugar’ means that the food contains no sugar that’s been refined.,['refined'],"['sugar', 'food', 'sugar']","['food', 'sugar', 'sugar']",['refined'],['sugar'],['sugar']
313,Does food with no refined sugar have any sugar in?,informationanddefinition,Foods with no refined sugar may still contain huge amounts of other types of sugar. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/is-no-refined-sugar-a-sign-of-healthy-food/,foods with no refined sugar may still contain huge amounts of other types of sugar.,"['refined', 'huge', 'other']","['foods', 'sugar', 'amounts', 'types', 'sugar']","['foods', 'sugar', 'amounts', 'sugar', 'types']",['refined'],"['food', 'sugar', 'sugar']","['food', 'sugar', 'sugar']"
314,Is unrefined sugar healthy?,informationanddefinition,"The raw sugar movement would have you believe that unlike its processed peers, unrefined sugar isn’t damaging to your health. This, however, isn’t true. In the same way that table sugar will spike glucose levels after ingestion, so will honey, agave fruit sugar, raw sugar, or any other reincarnation of sugar that’s currently being marketed as the best thing since sliced bread (which funnily enough isn’t that great for you either). For more info on raw sugar feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/is-raw-sugar-healthier/","the raw sugar movement would have you believe that unlike its processed peers, unrefined sugar isn’t damaging to your health.","['raw', 'unrefined', 'damaging']","['sugar', 'movement', 'peers', 'sugar', 'health']","['sugar', 'sugar movement', 'peers', 'health']","['unrefined', 'healthy']",['sugar'],['sugar']
315,Can I drink alcohol?,informationanddefinition,"Some alcohol can be consumed on a low carb diet, although certain drinks will spike your blood glucose levels. Hard liquors, like vodka and tequila, are one of your best options. One once of tequila is only about 60 calories and zero carbs. Just be sure to either drink them straight or with a sugar free mixer. For more info on alcohol consumption feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-drinking-best-worst-alcohols/","some alcohol can be consumed on a low carb diet, although certain drinks will spike your blood glucose levels.","['low', 'certain']","['alcohol', 'carb', 'diet', 'drinks', 'blood', 'glucose', 'levels']","['alcohol', 'diet', 'drinks', 'blood glucose levels']",[],['alcohol'],['alcohol']
316,Can I drink wine?,informationanddefinition,"Some wines can be quite high in carbs. Light and dry white wine, such as Prosecco, as well as Champagne (which contains about 1.5 carbs), are going to be on the lower end of the carb scale. Other white wines that are less sweet, such as a Chardonnay or Sauvignon Blanc, are also a good choice. For more info on wine and other alcohol feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-drinking-best-worst-alcohols/",some wines can be quite high in carbs.,['high'],"['wines', 'carbs']","['wines', 'carbs']",[],['wine'],['wine']
317,Can I drink cocktails?,informationanddefinition,"Cocktails can be very high in sugar, as most bars not only add sugary mixers but also use flavoured syrup to make them thicker.  If you want to have a cocktail, try to stay away as much as possible from really fruity and sweet drinks, like certain martinis. Also look to get the diet version of any mixer that is added and finally check to see if syrup is part of the recipe. For more info on cocktails and alcohol in general feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-drinking-best-worst-alcohols/ ","cocktails can be very high in sugar, as most bars not only add sugary mixers but also use flavoured syrup to make them thicker.","['high', 'most', 'sugary', 'flavoured', 'thicker']","['cocktails', 'sugar', 'bars', 'mixers', 'syrup']","['cocktails', 'bars', 'sugar', 'mixers', 'syrup']",[],['cocktails'],['cocktails']
318,Will low carb reduce hunger and cravings?,informationanddefinition,Low Carb dieting has been shown to lower hunger and reduce cravings for food. For more information on this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-shown-to-reduce-hunger-and-food-cravings/,low carb dieting has been shown to lower hunger and reduce cravings for food.,"['low', 'lower']","['carb', 'dieting', 'hunger', 'cravings', 'food']","['dieting', 'hunger', 'food', 'cravings']",['low'],"['carb', 'hunger', 'cravings']","['carb', 'hunger', 'cravings']"
319,Is grass fed meat and dairy better?,informationanddefinition,"There is some evidence to suggest that it is better to opt for meat and dairy products that come from grass-fed rather than grain-fed animals. Primarily, this is due to higher amounts of omega-3 fatty acids. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/",there is some evidence to suggest that it is better to opt for meat and dairy products that come from grass-fed rather than grain-fed animals.,['better'],"['evidence', 'meat', 'dairy', 'products', 'grass', 'grain', 'animals']","['evidence', 'dairy products', 'meat', 'animals']",[],"['grass', 'meat', 'dairy']","['grass', 'meat', 'dairy']"
320,What is Omega 3?,informationanddefinition,"Omega 3 fatty acids are a type of poly-unsaturated fat that carry out some vital functions. They’re found in oily fish, nuts, seeds, spinach and soy. For more information on omega 3’s feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/supplement-series-omega-3s-healthcare-miracle-or-fishy-foe/",omega 3 fatty acids are a type of poly-unsaturated fat that carry out some vital functions.,"['unsaturated', 'vital']","['omega', 'fatty', 'acids', 'type', 'poly', 'fat', 'functions']","['type', 'omega 3 fatty acids', 'fat', 'functions']",[],['Omega'],['Omega 3']
321,Should I eat more Omega 6?,informationanddefinition,"An unbalanced ratio of, omega-3s and omega-6s, has been shown in many studies to be a big driver of inflammation and to promote weight gain. Currently the average consumption rate of omega-6 fatty acids is 16 times the amount of omega-3 consumption. You should look to cut down on omega-6 fat and increase omega-3’s. For more information on how to do this, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/","an unbalanced ratio of, omega-3s and omega-6s, has been shown in many studies to be a big driver of inflammation and to promote weight gain.","['unbalanced', 'many', 'big']","['ratio', 'omega', '3s', 'omega', '6s', 'studies', 'driver', 'inflammation', 'weight', 'gain']","['ratio', 'omega-3s', 'omega-6s', 'studies', 'inflammation', 'weight gain', 'driver']",['more'],['Omega'],['Omega 6']
322,Do saturated fats cause heart disease?,cause,The evidence linking saturated fat to heart disease is weak at best and whatever truth there is to this common belief it would likely only manifest in the presence of high-carb intake. For more information on Saturated fat feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/,the evidence linking saturated fat to heart disease is weak at best and whatever truth there is to this common belief it would likely only manifest in the presence of high-carb intake.,"['weak', 'common', 'high']","['evidence', 'fat', 'heart', 'disease', 'truth', 'belief', 'presence', 'carb', 'intake']","['evidence', 'fat', 'heart disease', 'truth', 'belief', 'presence', 'intake']",[],"['fats', 'heart', 'disease']","['fats', 'heart disease']"
323,Which foods contain saturated fats?,informationanddefinition,"Foods like cream, cheese, butter, whole milk dairy products and fatty meat all contain saturated fats. For more information on Saturated fat feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/ ","foods like cream, cheese, butter, whole milk dairy products and fatty meat all contain saturated fats.",['whole'],"['foods', 'cream', 'cheese', 'butter', 'milk', 'dairy', 'products', 'fatty', 'meat', 'fats']","['foods', 'cream', 'cheese', 'butter', 'milk dairy products', 'fats', 'meat']",[],"['foods', 'fats']","['foods', 'fats']"
324,Which foods contain monounsaturated fat?,informationanddefinition,"Red meat, nuts, seeds, nut butters and olives are all high in mono unsaturated fats. For more info on monounsaturated fats feel free to follow the link. http://www.livestrong.com/article/85379-foods-rich-monounsaturated-fat/","red meat, nuts, seeds, nut butters and olives are all high in mono unsaturated fats.","['red', 'high', 'unsaturated']","['meat', 'nuts', 'seeds', 'nut', 'butters', 'olives', 'mono', 'fats']","['red meat', 'nuts', 'nut butters', 'seeds', 'olives', 'fats']",['monounsaturated'],"['foods', 'fat']","['foods', 'monounsaturated fat']"
325,Which foods contain poly-unsaturated fats?,informationanddefinition,"Foods like walnuts, sunflower seeds, flax seeds and oily fish are high in poly-unsaturated fats. For more information on poly-unsaturated fats feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/","foods like walnuts, sunflower seeds, flax seeds and oily fish are high in poly-unsaturated fats.","['oily', 'high']","['foods', 'walnuts', 'sunflower', 'seeds', 'flax', 'seeds', 'fish', 'poly', 'fats']","['walnuts', 'foods', 'sunflower seeds', 'flax seeds', 'oily fish', 'fats']",[],"['foods', 'poly', 'fats']","['foods', 'fats']"
326,How do I get more vitamin C on low carb?,informationanddefinition,"Despite being notorious for its vitamin c content, oranges and especially orange juice, may not be the best option for you. This is due to their high sugar content. A better option would be blueberries or blackcurrants. For more information on this feel free to follow the link. ","despite being notorious for its vitamin c content, oranges and especially orange juice, may not be the best option for you.","['notorious', 'orange', 'best']","['vitamin', 'c', 'content', 'oranges', 'juice', 'option']","['vitamin c content', 'oranges', 'orange juice', 'option']","['more', 'low']","['vitamin', 'C', 'carb']","['vitamin C', 'carb']"
327,Does eating fat increase cholesterol levels?,informationanddefinition,"The idea that eating a high fat diet will cause high cholesterol is not strictly true. High quality evidence suggests that 25% of cholesterol comes from our diet, and 75% is produced inside of our bodies by the liver. The biggest influence on blood cholesterol level is the mix of fats and carbs in the diet – not the amount of cholesterol you eat from food. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/",the idea that eating a high fat diet will cause high cholesterol is not strictly true.,"['high', 'high', 'true']","['idea', 'fat', 'diet', 'cholesterol']","['idea', 'fat diet', 'cholesterol']",[],"['fat', 'increase', 'cholesterol', 'levels']",['fat increase cholesterol levels']
328,Is fat essential?,informationanddefinition,"Unlike carbohydrates, which aren’t technically essential, dietary fat is absolutely needed. Without it, several bodily functions would shut down. If you wish to read more about the role dietary fat plays in the body feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/","unlike carbohydrates, which aren’t technically essential, dietary fat is absolutely needed.","['essential', 'dietary']","['carbohydrates', 'fat']","['carbohydrates', 'fat']",['essential'],['fat'],[]
329,Can I go low carb as a vegetarian?,informationanddefinition,"Short answer, yes. However, going low carb as a vegetarian requires significantly more effort. Despite this, it can definitely be done. For a comprehensive guide to eating low carb as a vegetarian feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-adequate-plant-based-eaters/ ","short answer, yes.",['short'],['answer'],['answer'],['low'],"['carb', 'vegetarian']","['low carb', 'vegetarian']"
330,Can I go low carb as a vegan?,informationanddefinition,"Short answer, yes. However, going low carb as a vegan requires significantly more effort. Despite this, it can definitely be done. For a comprehensive guide to eating low carb as a vegan feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-adequate-plant-based-eaters/ ","short answer, yes.",['short'],['answer'],['answer'],['low'],"['carb', 'vegan']","['low carb', 'vegan']"
331,Is a plant based diet safe whilst eating low carb?,informationanddefinition,"If followed correctly, a plant based low carb diet can be very healthy. For a comprehensive guide to eating a plant based low carb diet feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-adequate-plant-based-eaters/","if followed correctly, a plant based low carb diet can be very healthy.","['low', 'healthy']","['plant', 'carb', 'diet']","['diet', 'plant']","['safe', 'low']","['plant', 'diet', 'carb']","['diet', 'carb']"
332,Can I eat Pecans on a low carb diet?,informationanddefinition,Pecans contain 4g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,pecans contain 4g net carbs per 100g making them an excellent low carb snack.,"['net', 'excellent', 'low']","['pecans', '4g', 'carbs', '100g', 'carb', 'snack']","['pecans', 'carbs', 'snack']",['low'],"['Pecans', 'carb', 'diet']","['Pecans', 'diet']"
333,Can I eat macadamia nuts?,informationanddefinition,Macadamias contain 5g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/ ,macadamias contain 5g net carbs per 100g making them an excellent low carb snack.,"['net', 'excellent', 'low']","['macadamias', '5g', 'carbs', '100g', 'carb', 'snack']","['macadamias', 'carbs', 'snack']",[],"['macadamia', 'nuts']",['macadamia nuts']
334,Can I eat pine nuts?,informationanddefinition,Pine nuts contain 9g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,pine nuts contain 9g net carbs per 100g making them an excellent low carb snack.,"['net', 'excellent', 'low']","['pine', 'nuts', '9g', 'carbs', '100g', 'carb', 'snack']","['pine nuts', 'carbs', 'snack']",[],"['pine', 'nuts']",['pine nuts']
335,Can I eat Brazil nuts?,informationanddefinition,Brazil nuts contain 4g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,brazil nuts contain 4g net carbs per 100g making them an excellent low carb snack.,"['net', 'excellent', 'low']","['brazil', 'nuts', '4g', 'carbs', '100g', 'carb', 'snack']","['nuts', 'carbs', 'brazil', 'snack']",[],"['Brazil', 'nuts']","['Brazil', 'nuts']"
336,Can I eat peanuts?,informationanddefinition,Peanuts contain 7g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,peanuts contain 7g net carbs per 100g making them an excellent low carb snack.,"['net', 'excellent', 'low']","['peanuts', '7g', 'carbs', '100g', 'carb', 'snack']","['peanuts', 'carbs', 'snack']",[],['peanuts'],['peanuts']
337,Can I eat cashews?,informationanddefinition,Cashews contain 27g net carbs per 100g and are best eaten in smaller portions due to the high carb count. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,cashews contain 27g net carbs per 100g and are best eaten in smaller portions due to the high carb count.,"['net', 'smaller', 'high']","['cashews', 'carbs', '100g', 'portions', 'carb', 'count']","['cashews', 'carbs', 'portions', 'count']",[],['cashews'],['cashews']
338,Can I eat pistachios?,informationanddefinition,Pistachios contain 18g net carbs per 100g so should be consumed in smaller portions due to their carbohydrate content. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,pistachios contain 18g net carbs per 100g so should be consumed in smaller portions due to their carbohydrate content.,"['net', 'smaller']","['pistachios', 'carbs', '100g', 'portions', 'carbohydrate', 'content']","['pistachios', 'carbs', 'carbohydrate content', 'portions']",[],['pistachios'],['pistachios']
339,What are medium-chain triglycerides? (MCT’s),informationanddefinition,Medium chain triglycerides (MCT’s) are a type of fatty acid that are absorbed into the body more quickly than other fats and go straight into the liver. This means they’re used as an instant source of energy and less likely to be stored as fat. To read more about MCT’s feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/medium-chain-triglycerides-benefits-type-2-diabetes/,medium chain triglycerides (mct’s) are a type of fatty acid that are absorbed into the body more quickly than other fats and go straight into the liver.,"['medium', 'other']","['chain', 'triglycerides', 'mct', 'type', 'fatty', 'acid', 'body', 'fats', 'liver']","['type', 'chain triglycerides', 'mct', 'fatty acid', 'body', 'liver', 'fats']",['medium'],"['chain', 'triglycerides', 'MCT']","['triglycerides', 'MCT']"
340,Should I take medium chain triglycerides?,informationanddefinition,"Some studies have shown that taking MCT’s helps to increase insulin sensitivity and fat burning. However, these findings are preliminary and need further research to confirm. To read more about MCT’s feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/medium-chain-triglycerides-benefits-type-2-diabetes/ ",some studies have shown that taking mct’s helps to increase insulin sensitivity and fat burning.,['fat'],"['studies', 'mct', 'insulin', 'sensitivity', 'burning']","['studies', 'mct', 'burning', 'insulin sensitivity']",['medium'],"['chain', 'triglycerides']",['chain triglycerides']
341,How do I get more vitamin D whilst on low carb?,informationanddefinition,"One of the best ways to get more vitamin D is by spending time in the sun. If your summers consist of rain and no shine, foods high in vitamin D include Fatty fish, cheese, eggs, mushroom and tofu. To read more about Vitamin D feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/vitamin-d-deficiency-tackle/",one of the best ways to get more vitamin d is by spending time in the sun.,"['best', 'more']","['ways', 'vitamin', 'd', 'time', 'sun']","['one', 'ways', 'vitamin d', 'sun']","['more', 'low']","['vitamin', 'D', 'carb']","['vitamin D', 'carb']"
342,Can I drink beer?,informationanddefinition,"Beer, sometimes dubbed liquid bread, is very high in carbs. That being said, there are some low-ish carb beers. Coors light has 5g of carbs per 330ml bottle, ranking it as one of the lowest in carbs. For more info on low carb beers, feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/national-beer-day-our-guide-to-low-carb-tipples/","beer, sometimes dubbed liquid bread, is very high in carbs.","['liquid', 'high']","['beer', 'bread', 'carbs']","['beer', 'liquid bread', 'carbs']",[],['beer'],['beer']
343,Is low carb good for your teeth?,informationanddefinition,"By reducing your carb intake, you are effectively, removing the energy source for harmful bacteria, which can greatly reduce your risk of tooth decay. To read more about sugar and your teeth feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-living-your-dentist-will-love-you-for-it/","by reducing your carb intake, you are effectively, removing the energy source for harmful bacteria, which can greatly reduce your risk of tooth decay.",['harmful'],"['carb', 'intake', 'energy', 'source', 'bacteria', 'risk', 'tooth', 'decay']","['bacteria', 'carb intake', 'energy source', 'risk', 'tooth decay']","['low', 'good']","['carb', 'teeth']",['teeth']
344,Can low carb help Alzheimer’s? ,management,"Emerging research indicates that a ketogenic diet could offer an effective treatment strategy for Alzheimer’s. For more information on this, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/the-ketogenic-and-alzheimers/ ",emerging research indicates that a ketogenic diet could offer an effective treatment strategy for alzheimer’s.,"['ketogenic', 'effective']","['research', 'diet', 'treatment', 'strategy', 'alzheimer']","['research', 'diet', ""alzheimer's"", 'treatment strategy']",['low'],"['carb', 'Alzheimer']","['carb', ""Alzheimer's""]"
