QUESTION,ID,ANSWER
What is testosterone?,296,Food is thought to have an impact on testosterone levels in both men and women. For info on specific foods that will boost your testosterone levels feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/foods-boost-testosterone/
Is it safe for a child to be on a low carb diet?,297,"For young children that have diabetes, a low carb approach can be a safe and effective way to keep blood glucose levels within a healthy range without the use of insulin. Of course, before you make a decision like this it is advised that you consult a healthcare professional. For more info on whether it is safe for children to go low carb feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/children-go-low-carb/"
What are statins?,298,Statins are a cholesterol lowering medications that are very commonly prescribed.
"Ive been prescribed statins, should I take them?",299,"Of course, this is a very personal decision to make. The decision to take, or not take, statins is yours as a patient. You should not feel under pressure either way to take or not them. This guide has been developed to give you more information, in order to allow you to make an informed decision. https://www.diabetes.co.uk/lowcarb/life/how-beneficial-are-statins/"
Can I exercise intensely on a low carb diet,300,"Despite popular misconception, many high-level athletes train and perform on low carb diets. One example being Chris Froome who has won the Tour De France multiple times. To read more about his story, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-advocate-chris-froome-begins-bid-for-fourth-tour-de-france/"
Is low carb just for people with type 2?,301,"Despite type 1 and type 2 occurring via different mechanisms, both are related to an inability to create, process or use insulin. When this occurs, glucose is no longer efficiently absorbed into cells and stays in the blood stream. Long term, this can be quite damaging. Regardless of your type of diabetes, consuming fewer carbs can be very beneficial, even resulting in a significant decrease in medicine use."
Can I use sweeteners?,302,"Generally speaking, the Low Carb Program looks to stay away from sweeteners. This is as they’ve been shown to increase caloric intake and make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. However, if you have to make the choice between the sugary and sugar free version it is better to take the sugar free version. Of course, moderation is key."
Will low carb help to lower my sodium levels? ,303,"One aspect of low carb dieting that is especially helpful for heart health is related to insulins impact on the kidneys, and thus your sodium levels. In addition to its role in glucose storage, insulin has been shown to increase kidney re-absorption of sodium. When you follow a low carb diet your insulin levels are lowered. This results in the kidneys drastically lowering their rate of re-absorption of sodium and water, leading to lower sodium levels and blood pressure. This makes the Low Carb Program an excellent dietary strategy to combat high blood pressure. For other practical ways to lower your salt intake, look to stay away from highly processed meats like bacon, sausages, cold cuts and frozen breaded meats. Canned and pickled vegetables, canned soup, seasonings and condiments can all be chocked full of salt. Its definitely worth checking the labels."
Can low carb cause depression?,304,"Many people worry that following a low carb diet will cause them to become slow, irritable and depressed. However, in people that arent predisposed to depression there is no evidence to suggest this. Being on a low carb diet actually levels out your energy levels, stopping you from crashing and potentially feeling depressed. To read more about low carb and depression feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/can-low-carb-cause-depression/"
Will low carb help my epilepsy?,305,Very low carb ketogenic diets have been used since the 1920s to treat epilepsy. For more info on how low carb can help to treat epilepsy feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/can-low-carb-free-people-epilepsy/
Will eating low carb cause nutrient deficiencies?,306,"Despite some versions of LCHF diet focussing very heavily on fat whilst neglecting protein and fibre rich foods. However, the Low Carb Program looks to focus on consuming a variety of nutrient dense low carb foods to stop deficiencies occurring. To read more about nutrient deficiencies, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/can-low-carb-diets-lead-nutrient-deficiencies/"
What are trans fats?,307,"There are two types of trans fats, the natural kind, and the artificial kind. Natural trans fatty acids can be found in dairy, lamb, pork and beef. In moderation, studies have shown that these fats aren’t as bad as their artificial cousins. Artificial trans fats, which are manufactured to increase the shelf life of foods, have been linked to increasing LDL (bad cholesterol) and decreasing HDL (good cholesterol). LDL is known as “bad cholesterol”. This is as it contributes to fatty plaque build-ups in arteries. Thus causing atherosclerosis and raising the risk of heart attack, peripheral artery disease and stroke. To read more about trans fats feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/trans-fats-avoiding/"
What do I do first on the program?,308,"Start by watching the weekly program lessons, answering the questions to test your knowledge and then following the action points for the week. You can start to track your weight loss, blood pressure, blood glucose, HbA1c, cholesterol levels and any other metrics you feel are noteworthy on the dashboard. This is helpful as it will give you a visible guide of your progress and will make your goals feel much more achievable. In terms of what you should actually eat, it will all be covered in the weekly videos, but for a quick overview you should be cutting sugar out or at least down to very low levels. That means cutting out things like chocolate, cake, ice-cream, and sugary drinks. Also looking to decrease carbohydrate consumption to under 150g per day. That means cutting back on starchy foods like pasta, rice, bread, potato, pastries, cereal and crisps. Look instead to eat fresh vegetables and increase your healthy fat consumption by eating cuts of meat, fish, dairy (excluding milk) seeds, nuts, avocado and olives/olive oil. For cooking try using butter, lard or coconut oils. There are a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving. This may seem like a lot to take in, but the program is designed to introduce you slowly."
Should I sugar detox?,309,"There are many reasons why a sugar cleanse is beneficial. For instance, if you feel like you have an unhealthy relationship with any specific type of food (for me it’s always been chocolate) then this is a perfect way to dump said food. This is especially important as millions of people have very damaging food addictions. To read more about how to do a sugar detox feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/how-to-sugar-detox-2/ "
Does low carb cause thyroid problem?,310,"Some evidence has suggested that in certain cases low carb dieting may impact your thyroid hormone conversion. However, this is only apparent in some people. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-bad-thyroid/"
Do I need to eat carbs before exercise?,311,"The simple answer, no. For normal exercise intensity, LCHF dieting is perfectly safe and will also be beneficial for weight loss. However, for long distance runners and people exercising at moderate to high intensity for over 90 minutes, carbs may be needed. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/myth-buster-exercise-requires-carb-ing/"
What does no refined sugar mean?,312,"‘No refined sugar’ means that the food contains no sugar that’s been refined. However, it may still contain plenty of unrefined sugar. These foods aren’t sugar free. To learn more about refined sugar feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/is-no-refined-sugar-a-sign-of-healthy-food/"
Does food with no refined sugar have any sugar in?,313,Foods with no refined sugar may still contain huge amounts of other types of sugar. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/is-no-refined-sugar-a-sign-of-healthy-food/
Is unrefined sugar healthy?,314,"The raw sugar movement would have you believe that unlike its processed peers, unrefined sugar isn’t damaging to your health. This, however, isn’t true. In the same way that table sugar will spike glucose levels after ingestion, so will honey, agave fruit sugar, raw sugar, or any other reincarnation of sugar that’s currently being marketed as the best thing since sliced bread (which funnily enough isn’t that great for you either). For more info on raw sugar feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/is-raw-sugar-healthier/"
Can I drink alcohol?,315,"Some alcohol can be consumed on a low carb diet, although certain drinks will spike your blood glucose levels. Hard liquors, like vodka and tequila, are one of your best options. One once of tequila is only about 60 calories and zero carbs. Just be sure to either drink them straight or with a sugar free mixer. For more info on alcohol consumption feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-drinking-best-worst-alcohols/"
Can I drink wine?,316,"Some wines can be quite high in carbs. Light and dry white wine, such as Prosecco, as well as Champagne (which contains about 1.5 carbs), are going to be on the lower end of the carb scale. Other white wines that are less sweet, such as a Chardonnay or Sauvignon Blanc, are also a good choice. For more info on wine and other alcohol feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-drinking-best-worst-alcohols/"
Can I drink cocktails?,317,"Cocktails can be very high in sugar, as most bars not only add sugary mixers but also use flavoured syrup to make them thicker.  If you want to have a cocktail, try to stay away as much as possible from really fruity and sweet drinks, like certain martinis. Also look to get the diet version of any mixer that is added and finally check to see if syrup is part of the recipe. For more info on cocktails and alcohol in general feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-drinking-best-worst-alcohols/ "
Will low carb reduce hunger and cravings?,318,Low Carb dieting has been shown to lower hunger and reduce cravings for food. For more information on this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-shown-to-reduce-hunger-and-food-cravings/
Is grass fed meat and dairy better?,319,"There is some evidence to suggest that it is better to opt for meat and dairy products that come from grass-fed rather than grain-fed animals. Primarily, this is due to higher amounts of omega-3 fatty acids. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/"
What is Omega 3?,320,"Omega 3 fatty acids are a type of poly-unsaturated fat that carry out some vital functions. They’re found in oily fish, nuts, seeds, spinach and soy. For more information on omega 3’s feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/supplement-series-omega-3s-healthcare-miracle-or-fishy-foe/"
Should I eat more Omega 6?,321,"An unbalanced ratio of, omega-3s and omega-6s, has been shown in many studies to be a big driver of inflammation and to promote weight gain. Currently the average consumption rate of omega-6 fatty acids is 16 times the amount of omega-3 consumption. You should look to cut down on omega-6 fat and increase omega-3’s. For more information on how to do this, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/"
Do saturated fats cause heart disease?,322,The evidence linking saturated fat to heart disease is weak at best and whatever truth there is to this common belief it would likely only manifest in the presence of high-carb intake. For more information on Saturated fat feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/
Which foods contain saturated fats?,323,"Foods like cream, cheese, butter, whole milk dairy products and fatty meat all contain saturated fats. For more information on Saturated fat feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/ "
Which foods contain monounsaturated fat?,324,"Red meat, nuts, seeds, nut butters and olives are all high in mono unsaturated fats. For more info on monounsaturated fats feel free to follow the link. http://www.livestrong.com/article/85379-foods-rich-monounsaturated-fat/"
Which foods contain poly-unsaturated fats?,325,"Foods like walnuts, sunflower seeds, flax seeds and oily fish are high in poly-unsaturated fats. For more information on poly-unsaturated fats feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/"
How do I get more vitamin C on low carb?,326,"Despite being notorious for its vitamin c content, oranges and especially orange juice, may not be the best option for you. This is due to their high sugar content. A better option would be blueberries or blackcurrants. For more information on this feel free to follow the link. "
Does eating fat increase cholesterol levels?,327,"The idea that eating a high fat diet will cause high cholesterol is not strictly true. High quality evidence suggests that 25% of cholesterol comes from our diet, and 75% is produced inside of our bodies by the liver. The biggest influence on blood cholesterol level is the mix of fats and carbs in the diet – not the amount of cholesterol you eat from food. To read more about this feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/"
Is fat essential?,328,"Unlike carbohydrates, which aren’t technically essential, dietary fat is absolutely needed. Without it, several bodily functions would shut down. If you wish to read more about the role dietary fat plays in the body feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/fat-fits-low-carb-diet/"
Can I go low carb as a vegetarian?,329,"Short answer, yes. However, going low carb as a vegetarian requires significantly more effort. Despite this, it can definitely be done. For a comprehensive guide to eating low carb as a vegetarian feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-adequate-plant-based-eaters/ "
Can I go low carb as a vegan?,330,"Short answer, yes. However, going low carb as a vegan requires significantly more effort. Despite this, it can definitely be done. For a comprehensive guide to eating low carb as a vegan feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-adequate-plant-based-eaters/ "
Is a plant based diet safe whilst eating low carb?,331,"If followed correctly, a plant based low carb diet can be very healthy. For a comprehensive guide to eating a plant based low carb diet feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-diet-adequate-plant-based-eaters/"
Can I eat Pecans on a low carb diet?,332,Pecans contain 4g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/
Can I eat macadamia nuts?,333,Macadamias contain 5g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/ 
Can I eat pine nuts?,334,Pine nuts contain 9g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/
Can I eat Brazil nuts?,335,Brazil nuts contain 4g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/
Can I eat peanuts?,336,Peanuts contain 7g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/
Can I eat cashews?,337,Cashews contain 27g net carbs per 100g and are best eaten in smaller portions due to the high carb count. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/
Can I eat pistachios?,338,Pistachios contain 18g net carbs per 100g so should be consumed in smaller portions due to their carbohydrate content. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/
What are medium-chain triglycerides? (MCT’s),339,Medium chain triglycerides (MCT’s) are a type of fatty acid that are absorbed into the body more quickly than other fats and go straight into the liver. This means they’re used as an instant source of energy and less likely to be stored as fat. To read more about MCT’s feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/medium-chain-triglycerides-benefits-type-2-diabetes/
Should I take medium chain triglycerides?,340,"Some studies have shown that taking MCT’s helps to increase insulin sensitivity and fat burning. However, these findings are preliminary and need further research to confirm. To read more about MCT’s feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/medium-chain-triglycerides-benefits-type-2-diabetes/ "
How do I get more vitamin D whilst on low carb?,341,"One of the best ways to get more vitamin D is by spending time in the sun. If your summers consist of rain and no shine, foods high in vitamin D include Fatty fish, cheese, eggs, mushroom and tofu. To read more about Vitamin D feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/vitamin-d-deficiency-tackle/"
Can I drink beer?,342,"Beer, sometimes dubbed liquid bread, is very high in carbs. That being said, there are some low-ish carb beers. Coors light has 5g of carbs per 330ml bottle, ranking it as one of the lowest in carbs. For more info on low carb beers, feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/national-beer-day-our-guide-to-low-carb-tipples/"
Is low carb good for your teeth?,343,"By reducing your carb intake, you are effectively, removing the energy source for harmful bacteria, which can greatly reduce your risk of tooth decay. To read more about sugar and your teeth feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-living-your-dentist-will-love-you-for-it/"
Can low carb help Alzheimer’s? ,344,"Emerging research indicates that a ketogenic diet could offer an effective treatment strategy for Alzheimer’s. For more information on this, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/the-ketogenic-and-alzheimers/ "
Can I drink milk?,345,"The Low Carb Program looks to stay away from milk as it contains lactose (a type of sugar). If you can’t give up milk completely, go for a full fat whole milk. For more information on milk feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/"
Can I drink Almond milk?,346,"Usually at around 0.1g per 100ml, unsweetened almond milk is an excellent milk substitute. It’s important to check labels, though, as some brands contain thickening agents like tapioca starch. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/ "
Can I swap milk for cream in coffee?,347,"If you’re getting sick of black coffee try swapping milk for single cream. Although it might be a strange concept at first, the cream is almost void of carbs and sugar and adds a delicious creamy taste."
Can I drink hemp milk?,348,"Usually at around 0.1g per 100ml, unsweetened hemp milk is an excellent milk substitute. However, it is advisable to check the labels as sugars or starches may have been added. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/"
Can I drink rice milk?,349,"Generally, the Low Carb Program looks to stay away from rice milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/ "
Can I drink oat milk?,350,"Generally, the Low Carb Program looks to stay away from oat milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/"
Can I drink cashew milk?,351,"Generally, the Low Carb Program looks to stay away from cashew milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/"
Can I drink coconut milk?,352,"Generally, the Low Carb Program looks to stay away from coconut milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/"
Can I eat tomato soup?,353,"Tomato soup is often packed with sugar. Heinz’s 300g tin of Classic Tomato Soup, for example, contains four teaspoons of sugar. If you’re craving some tomato soup, you can browse through several tomato soup recipes in the Low carb cookbooks, all available for download for free from the download section of the app or online."
Can low carb help my polycystic ovarian syndrome (PCOS)?,354,"Low-carbohydrate and ketogenic diets have been found to be effective in reducing the main symptoms of PCOS. These include lowered blood glucose/insulin and triglyceride levels, weight loss, and decreased levels of free testosterone, couple with a better LH/FSH ratio. Reduced hair growth and improved fertility are also likely through a low intake of carbs. For more info on low carb and PCOS feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/polycystic-ovarian-syndrome-pcos-and-the-low-carb-link/"
What is Polycystic ovarian syndrome(PCOS)?,355,"Polycystic Ovaries (or PCO for short) is a very common disorder that affects the female reproductive system. It’s defined by the presence of cysts on the ovaries, though this can be a little bit misleading. Rather than being true ‘cysts’, these are actually immature follicles, containing eggs which are not fully developed. As a result, ovulation does not occur as expected with a usual, monthly cycle – something known as anovulation. For more info on PCOS feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/polycystic-ovarian-syndrome-pcos-and-the-low-carb-link/"
Can I eat canned soups?,356,"Canned soups are often filled with sugar and should largely be avoided. If you’re craving some tomato soup, you can browse through several tomato soup recipes in the Low carb cookbooks, all available for download for free from the download section of the app or online"
Can I eat fried chicken?,357,"As Fried chicken is floured and battered, it is quite high in carbs. In addition to this, when brought from fast food restaurants it is usually fried in old, unhealthy oils.  "
Can I eat burgers?,358,"If buying a burger from a restaurant, ask for it to be served bun-less. If this isn’t an option simply take off the bun. Also, if ordering chicken make sure it isn’t breaded or battered."
Can I eat Jam?,359,Jam is essentially just a sugar spread void of many nutrients. For that reason it should be avoided. 
Can I eat pizza?,360,"Regular pizzas contain lots of carbs from their flour base and sugar from the tomato sauce. For that reason the low carb program looks to stay away from them. However, you can make your own low-carb cauliflower pizza by following this link. https://www.diabetes.co.uk/lowcarb/life/cauliflower-pizza-fridays/"
Can I eat popcorn?,361,"Although salted popcorn doesn’t have any sugar added to it, It is still very high in carbs. With that in mind it’s best not to overindulge in popcorn. However, there are a few low-er carb versions available in stores like Tesco. It’s Just a case of checking the label. "
Can I eat at Subway?,362,"When going to Subway, you’re best to stay away from the actual Submarine sandwiches. Instead, try the subways salads. These are essentially subs without the bread. The lowest carbohydrate salads are the tuna salad, veggie delight salad, chicken salad and turkey salad, nearly all the options bar the meatballs and any glazed meat options are relatively low in carbs. Make sure to be aware of the sauces you use as these can contain lots of sugar. The best option is mayonnaise as it is void of sugar."
Can I eat at Burger King?,363,"When going to Burger King, your best low carb options are the beef burgers without buns. The problem with the chicken burgers is that they’re breaded or battered in flour which adds a lot of carbs. My go to meal at Burger King is a double whopper with no bun or ketchup and a garden side salad. This works out at Calories: 615, Protein: 39g, Carbohydrates 5g, Sugar: 3 g, Fat: 48g, Saturated Fat: 17g, Trans Fat: 0g, Sodium: 480mg."
Can I eat McDonalds?,364,"When going to McDonalds your best low carb options are the beef burgers without buns. The problem with the chicken burgers is that they’re breaded or battered in flour which adds a lot of carbs. My go to meal at McDonalds is the Big tasty with bacon without the bun and big tasty sauce and a grilled chicken and bacon salad. This works out at Calories: 698, Protein: 65g, Carbohydrates 10.5g, Sugar: 6.8 g, Fat: 43g, Saturated Fat: 20g, salt: 3.3g."
Can I eat KFC?,365,"Unlike McDonalds and Burger King, KFC don’t do beef burgers so the option to eat a bun-less beef is out of the question. And also unlike the other two fast food chains, With 17 grams of carbs and 11 grams of sugar in a plain salad pot, This is also out of the question. In terms of low carb meals the 6 hot wing meal, with no fries may be the best option, although it is still breaded so isn’t void of carbs."
Can I eat Nando’s?,366,"When going to Nando’s, there are quite a few different low carb options. My go to meal at Nando’s is the hot ½ chicken with a salad and some grilled haloumi. This contains around 4.4 grams of carbs and virtually no sugar. Other low carb options include the chicken wings, butterfly chicken, drumsticks and thighs. "
Can I eat at a pub?,367,"When eating at a pub, I usually order a steak with some garlic butter on top. Then swap the chips and peas for a side salad. If I’m feeling extra hungry I’ll ask for a few eggs to be added also."
Can I eat dried fruit?,368,"The Low Carb Program looks to stay away from dried fruit as it contains lots of fructose, the type of sugar found in fruit. What’s worse with dried fruit is as the water has been taken out the fruit shrinks, meaning more will be consumed than if the fruit was fresh. In turn, this results in an increased amount of sugar consumed."
Can I eat granola bars?,369,"Despite still being synonymous with health, granola bars are full of sugar and will spike your glucose levels. Even be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit."
Can I eat breakfast bars?,370,"Despite still being synonymous with health, breakfast bars are full of sugar and will spike your glucose levels. Also, be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit."
Can I eat Nature Valley bars?,371,"Despite still being synonymous with health, Nature Valley bars are full of sugar and will spike your glucose levels. Also, be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit."
Can I eat Cereal bars?,372,"Despite still being synonymous with health, cereal bars are full of sugar and will spike your glucose levels. Also, be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit."
Can I eat flapjacks?,373,"Despite still being synonymous with health, flapjacks are full of sugar and will spike your glucose levels. Also, be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit."
Can I eat muesli bars?,374,"Despite still being synonymous with health, muesli bars are full of sugar and will spike your glucose levels. Even be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit."
Can I eat ketchup?,375,"Most popular ketchup brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy."
Can I eat sweet chilli sauce?,376,"Most popular sweet chilli sauce brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy."
Can I eat brown sauce?,377,"Most popular brown sauce brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy."
Can I eat mayonnaise?,378,"As mayonnaise is low in sugar and carbs, it can be consumed without the worry of it impacting your blood glucose levels."
Can I eat pasta sauce?,379,"Most popular pasta sauce brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy."
Can I eat BBQ sauce?,380,"Most popular BBQ sauce brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy."
Can I eat hot sauce?,381,"Hot sauce is usually quite low in carbs and sugar, if not completely void. That being said, make sure to check the label before consumption."
Can I eat Gravy?,382,"As gravy is usually made from the juice of meat, it is low in carbs and fine to consume. However, store brought gravy and restaurant gravy may have added carbs and sugar. It would be best to check the nutrient label or ask."
Can I eat Sriracha sauce?,383,"Sriracha sauce is usually void of carbohydrates and sugar completely. However, it may be best to check the label before you buy a bottle to check sugar hasn’t been added."
Can I eat Tabasco sauce?,384,"Tabasco sauce is usually void of carbohydrates and sugar completely. However, it may be best to check the label before you buy a bottle to check sugar hasn’t been added."
Can I eat chilli sauce?,385,"Chilli sauce is usually void of carbohydrates and sugar completely. However, it may be best to check the label before you buy a bottle to check sugar hasn’t been added."
Can I eat gummy vitamins?,386,Gummy vitamins are usually full of sugar and should be avoided.
Can I eat salad dressing?,387,"Most popular salad dressing brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy."
Can I eat yoghurt?,388,"Yoghurt is made using lactose, a naturally occurring sugar. But some yoghurts contain added sugar, particularly those which are fruit-flavoured, with fat-free yoghurts particularly likely to be high in sugar. Activia’s Strawberry Yoghurt (125g) is just 5% fat, but includes 17g of sugar. Plain yoghurt is usually lower in sugar than fruit-or vanilla-flavoured versions, but make sure you are vigilant when looking at yoghurt labels."
Can I make smoothies?,389,"Smoothies contain very high amounts of sugar and aren’t ideal whilst trying to keep your blood glucose levels stable. You can blend vegetables and a small amount of berries to make a low carb smoothie, but unless you have a very high power blender they may come out lumpy and thick due to the fibrous material being blended."
Can I eat corned beef?,390,"Corned beef is usually low in carbs and sugar making it an excellent selection. However, it is always worth checking the labels to see if any sugar has been added."
Are there any low carb pasta alternatives?,391,"The two best in my opinion are cauliflower rice and courgetti (courgette spaghetti). Cauliflower rice is super simple to make. Simply grate a cauliflower into small rice sized pieces (or you can use a food processor). Then transfer the rice to an absorbant towel or some kitchen roll and squeeze/ press the excess moisture out. Then simply sauté the rice on a medium heat until soft. Delicious. For Courgetti, use a spiralizer or peeler to cut the courgette into spaghetti like strips. Then fry for a minute on a pan with olive oil or coconut oil. After a minute add a few tablespoons of water and some salt/ pepper. Cook for another 4 minutes, or until soft. Alternatively, Holland and Barret, Myprotein and a few other health stores sell carb free pastas and spaghetti but as I havent tried any of them I cannot advocate their use. "
Can I follow this program to lose weight?,392,The Low Carb Program is an excellent dietary strategy for weight loss. One of the best things about a low carb high fat diet is that there is absolutely no need to focus on calorie consumption. Simply eat until you feel full and thats that. Thousands of members have been able to permanently lose fat whilst becoming much healthier in the process.
Which vegetables should I eat?,393,"Look to consume lots of non-starchy vegetables such as Brussels sprouts, Cabbage, Choy, Kale, Lettuce, Rocket, Spinach, Watercress, Carrots, Celeriac, Radishes, Swede. Turnip, Courgettes, Cucumber, Squash, Asparagus, Celery, Leeks, Spring Onions, Aubergine, Broccoli, Cauliflower, Mushroom and Peppers."
which foods contain healthy fats?,394,"Good sources of healthy fats include fresh cuts of non-processed meats, Fish, full fat Dairy like Yoghurt, Cheese, and Butter (these are typically low in lactose and may not impact you negatively), Eggs, Olives, Nuts, Seeds and Avocado."
Which vegetables should I avoid?,395,"Starchy vegetables include: Beans, Beetroot, Corn, Green peas, Parsnips, Pumpkin, Sweet potatoes, Butternut squash."
Which foods should I avoid?,396,"A quick list of foods you should avoid include fatty snack foods, deep fried foods, cakes, biscuits, crisps, pastries, pies, chocolate, sweets and other high sugar snacks."
Are there any good books on low carb?,397,"There are a fair few books that look at diabetes, low carb dieting and sugar consumption in detail. A few of my personal favourites are Gary Taubes’ “why we get fat and what to do about it” Jason Fungs “The Obesity Code: Unlocking the Secrets of Weight Loss” and “Carbs & Cals: Count your Carbs & Calories with over 1,700 Food & Drink Photos” by Chris Cheyette and Yello Balolia."
Any low carb snack ideas?,398,"Personally, Im a sucker for some dark chocolate with heavy cream and a few berries. Lindt excellence 80% is my favourite."
What low carb sweet treats are there?,399,"My favourite sweet treat is some dark chocolate, Lindt excellence 80% is my go to option, with heavy cream and a few berries."
What’s the max carbs I can eat per day?,400,"The Low Carb Program looks to stay at between 125-150 carbs per day. However, if you wish to go lower that’s okay too."
What’s the minimum amount of carbs I should eat per day?,401,"Technically, as carbohydrates aren’t an essential nutrient, the minimum carb intake per day is zero. However, this can be quite impractical for most people. The best course of action if you’re looking to further lower your carbohydrate consumption would be to take off another 20 grams per week until you reach an amount you’re happy with. Many of our low carb champions stick to around 40-80g of carbs per day."
