ID,ANSWER,AnswerAdjectives,AnswerEntities,AnswerNouns,Answerfirstsent,CLASS,QUESTION,QuestionsAdjectives,QuestionsEntities,QuestionsNouns
336,Peanuts contain 7g net carbs per 100g making them an excellent low carb snack. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,"['net', 'excellent', 'low']","['peanuts', 'carbs', 'snack']","['peanuts', '7g', 'carbs', '100g', 'carb', 'snack']",peanuts contain 7g net carbs per 100g making them an excellent low carb snack.,informationanddefinition,Can I eat peanuts?,[],['peanuts'],['peanuts']
337,Cashews contain 27g net carbs per 100g and are best eaten in smaller portions due to the high carb count. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,"['net', 'smaller', 'high']","['cashews', 'carbs', 'portions', 'count']","['cashews', 'carbs', '100g', 'portions', 'carb', 'count']",cashews contain 27g net carbs per 100g and are best eaten in smaller portions due to the high carb count.,informationanddefinition,Can I eat cashews?,[],['cashews'],['cashews']
338,Pistachios contain 18g net carbs per 100g so should be consumed in smaller portions due to their carbohydrate content. For more info on low carb nuts feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/which-nuts-are-best-for-people-with-diabetes/,"['net', 'smaller']","['pistachios', 'carbs', 'carbohydrate content', 'portions']","['pistachios', 'carbs', '100g', 'portions', 'carbohydrate', 'content']",pistachios contain 18g net carbs per 100g so should be consumed in smaller portions due to their carbohydrate content.,informationanddefinition,Can I eat pistachios?,[],['pistachios'],['pistachios']
339,Medium chain triglycerides (MCT’s) are a type of fatty acid that are absorbed into the body more quickly than other fats and go straight into the liver. This means they’re used as an instant source of energy and less likely to be stored as fat. To read more about MCT’s feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/medium-chain-triglycerides-benefits-type-2-diabetes/,"['medium', 'other']","['type', 'chain triglycerides', 'mct', 'fatty acid', 'body', 'liver', 'fats']","['chain', 'triglycerides', 'mct', 'type', 'fatty', 'acid', 'body', 'fats', 'liver']",medium chain triglycerides (mct’s) are a type of fatty acid that are absorbed into the body more quickly than other fats and go straight into the liver.,informationanddefinition,What are medium-chain triglycerides? (MCT’s),['medium'],"['triglycerides', 'MCT']","['chain', 'triglycerides', 'MCT']"
340,"Some studies have shown that taking MCT’s helps to increase insulin sensitivity and fat burning. However, these findings are preliminary and need further research to confirm. To read more about MCT’s feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/medium-chain-triglycerides-benefits-type-2-diabetes/ ",['fat'],"['studies', 'mct', 'burning', 'insulin sensitivity']","['studies', 'mct', 'insulin', 'sensitivity', 'burning']",some studies have shown that taking mct’s helps to increase insulin sensitivity and fat burning.,informationanddefinition,Should I take medium chain triglycerides?,['medium'],['chain triglycerides'],"['chain', 'triglycerides']"
341,"One of the best ways to get more vitamin D is by spending time in the sun. If your summers consist of rain and no shine, foods high in vitamin D include Fatty fish, cheese, eggs, mushroom and tofu. To read more about Vitamin D feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/vitamin-d-deficiency-tackle/","['best', 'more']","['one', 'ways', 'vitamin d', 'sun']","['ways', 'vitamin', 'd', 'time', 'sun']",one of the best ways to get more vitamin d is by spending time in the sun.,informationanddefinition,How do I get more vitamin D whilst on low carb?,"['more', 'low']","['vitamin D', 'carb']","['vitamin', 'D', 'carb']"
342,"By reducing your carb intake, you are effectively, removing the energy source for harmful bacteria, which can greatly reduce your risk of tooth decay. To read more about sugar and your teeth feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/low-carb-living-your-dentist-will-love-you-for-it/",['harmful'],"['bacteria', 'carb intake', 'energy source', 'risk', 'tooth decay']","['carb', 'intake', 'energy', 'source', 'bacteria', 'risk', 'tooth', 'decay']","by reducing your carb intake, you are effectively, removing the energy source for harmful bacteria, which can greatly reduce your risk of tooth decay.",informationanddefinition,Is low carb good for your teeth?,"['low', 'good']",['teeth'],"['carb', 'teeth']"
343,"Emerging research indicates that a ketogenic diet could offer an effective treatment strategy for Alzheimer’s. For more information on this, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/the-ketogenic-and-alzheimers/ ","['ketogenic', 'effective']","['research', 'diet', ""alzheimer's"", 'treatment strategy']","['research', 'diet', 'treatment', 'strategy', 'alzheimer']",emerging research indicates that a ketogenic diet could offer an effective treatment strategy for alzheimer’s.,management,Can low carb help Alzheimer’s? ,['low'],"['carb', ""Alzheimer's""]","['carb', 'Alzheimer']"
344,"The Low Carb Program looks to stay away from milk as it contains lactose (a type of sugar). If you can’t give up milk completely, go for a full fat whole milk. For more information on milk feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/",['low'],"['program', 'milk', 'lactose', 'type', 'sugar']","['carb', 'program', 'milk', 'lactose', 'type', 'sugar']",the low carb program looks to stay away from milk as it contains lactose (a type of sugar).,informationanddefinition,Can I drink milk?,[],['milk'],['milk']
345,"Usually at around 0.1g per 100ml, unsweetened almond milk is an excellent milk substitute. It’s important to check labels, though, as some brands contain thickening agents like tapioca starch. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/ ","['unsweetened', 'excellent']",['milk substitute'],"['g', '100ml', 'almond', 'milk', 'milk', 'substitute']","usually at around 0.1g per 100ml, unsweetened almond milk is an excellent milk substitute.",informationanddefinition,Can I drink Almond milk?,[],['Almond milk'],"['Almond', 'milk']"
346,"If you’re getting sick of black coffee try swapping milk for single cream. Although it might be a strange concept at first, the cream is almost void of carbs and sugar and adds a delicious creamy taste.","['sick', 'black', 'single']","['coffee', 'cream', 'milk']","['coffee', 'try', 'milk', 'cream']",if you’re getting sick of black coffee try swapping milk for single cream.,informationanddefinition,Can I swap milk for cream in coffee?,[],"['milk', 'cream', 'coffee']","['milk', 'cream', 'coffee']"
347,"Usually at around 0.1g per 100ml, unsweetened hemp milk is an excellent milk substitute. However, it is advisable to check the labels as sugars or starches may have been added. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/","['unsweetened', 'excellent']",['milk substitute'],"['g', '100ml', 'hemp', 'milk', 'milk', 'substitute']","usually at around 0.1g per 100ml, unsweetened hemp milk is an excellent milk substitute.",informationanddefinition,Can I drink hemp milk?,[],['hemp milk'],"['hemp', 'milk']"
348,"Generally, the Low Carb Program looks to stay away from rice milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/ ","['low', 'high']","['program', 'rice milk', 'carbs']","['carb', 'program', 'rice', 'milk', 'carbs']","generally, the low carb program looks to stay away from rice milk as it can be quite high in carbs.",informationanddefinition,Can I drink rice milk?,[],['rice milk'],"['rice', 'milk']"
349,"Generally, the Low Carb Program looks to stay away from oat milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/","['low', 'high']","['program', 'oat milk', 'carbs']","['carb', 'program', 'oat', 'milk', 'carbs']","generally, the low carb program looks to stay away from oat milk as it can be quite high in carbs.",informationanddefinition,Can I drink oat milk?,[],['oat milk'],"['oat', 'milk']"
350,"Generally, the Low Carb Program looks to stay away from cashew milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/","['low', 'high']","['program', 'milk', 'carbs']","['carb', 'program', 'cashew', 'milk', 'carbs']","generally, the low carb program looks to stay away from cashew milk as it can be quite high in carbs.",informationanddefinition,Can I drink cashew milk?,[],['cashew milk'],"['cashew', 'milk']"
351,"Generally, the Low Carb Program looks to stay away from coconut milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/","['low', 'high']","['program', 'coconut milk', 'carbs']","['carb', 'program', 'coconut', 'milk', 'carbs']","generally, the low carb program looks to stay away from coconut milk as it can be quite high in carbs.",informationanddefinition,Can I drink coconut milk?,[],['coconut milk'],"['coconut', 'milk']"
352,"Tomato soup is often packed with sugar. Heinz’s 300g tin of Classic Tomato Soup, for example, contains four teaspoons of sugar. If you’re craving some tomato soup, you can browse through several tomato soup recipes in the Low carb cookbooks, all available for download for free from the download section of the app or online.",[],"['tomato soup', 'sugar']","['tomato', 'soup', 'sugar']",tomato soup is often packed with sugar.,informationanddefinition,Can I eat tomato soup?,[],['tomato soup'],"['tomato', 'soup']"
353,"Low-carbohydrate and ketogenic diets have been found to be effective in reducing the main symptoms of PCOS. These include lowered blood glucose/insulin and triglyceride levels, weight loss, and decreased levels of free testosterone, couple with a better LH/FSH ratio. Reduced hair growth and improved fertility are also likely through a low intake of carbs. For more info on low carb and PCOS feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/polycystic-ovarian-syndrome-pcos-and-the-low-carb-link/","['low', 'ketogenic', 'effective', 'main']","['diets', 'symptoms', 'pcos']","['carbohydrate', 'diets', 'symptoms', 'pcos']",low-carbohydrate and ketogenic diets have been found to be effective in reducing the main symptoms of pcos.,management,Can low carb help my polycystic ovarian syndrome (PCOS)?,"['low', 'polycystic', 'ovarian']","['carb', 'polycystic ovarian syndrome', 'PCOS']","['carb', 'syndrome', 'PCOS']"
354,"Polycystic Ovaries (or PCO for short) is a very common disorder that affects the female reproductive system. It’s defined by the presence of cysts on the ovaries, though this can be a little bit misleading. Rather than being true ‘cysts’, these are actually immature follicles, containing eggs which are not fully developed. As a result, ovulation does not occur as expected with a usual, monthly cycle – something known as anovulation. For more info on PCOS feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/polycystic-ovarian-syndrome-pcos-and-the-low-carb-link/","['polycystic', 'short', 'common', 'female', 'reproductive']","['ovaries', 'disorder', 'pco', 'system']","['ovaries', 'pco', 'disorder', 'system']",polycystic ovaries (or pco for short) is a very common disorder that affects the female reproductive system.,informationanddefinition,What is Polycystic ovarian syndrome(PCOS)?,"['Polycystic', 'ovarian']","['Polycystic ovarian syndrome', 'PCOS']","['syndrome', 'PCOS']"
355,"Canned soups are often filled with sugar and should largely be avoided. If you’re craving some tomato soup, you can browse through several tomato soup recipes in the Low carb cookbooks, all available for download for free from the download section of the app or online",[],"['soups', 'sugar']","['soups', 'sugar']",canned soups are often filled with sugar and should largely be avoided.,informationanddefinition,Can I eat canned soups?,['canned'],['soups'],['soups']
356,"As Fried chicken is floured and battered, it is quite high in carbs. In addition to this, when brought from fast food restaurants it is usually fried in old, unhealthy oils.  ","['fried', 'high']","['fried chicken', 'carbs']","['chicken', 'carbs']","as fried chicken is floured and battered, it is quite high in carbs.",informationanddefinition,Can I eat fried chicken?,['fried'],['fried chicken'],['chicken']
357,"If buying a burger from a restaurant, ask for it to be served bun-less. If this isn’t an option simply take off the bun. Also, if ordering chicken make sure it isn’t breaded or battered.",['bun-less'],"['burger', 'restaurant']","['burger', 'restaurant']","if buying a burger from a restaurant, ask for it to be served bun-less.",informationanddefinition,Can I eat burgers?,[],['burgers'],['burgers']
358,Jam is essentially just a sugar spread void of many nutrients. For that reason it should be avoided. ,['many'],"['void', 'sugar', 'nutrients']","['jam', 'sugar', 'void', 'nutrients']",jam is essentially just a sugar spread void of many nutrients.,informationanddefinition,Can I eat Jam?,[],['Jam'],['Jam']
359,"Regular pizzas contain lots of carbs from their flour base and sugar from the tomato sauce. For that reason the low carb program looks to stay away from them. However, you can make your own low-carb cauliflower pizza by following this link. https://www.diabetes.co.uk/lowcarb/life/cauliflower-pizza-fridays/",['regular'],"['pizzas', 'lots', 'carbs', 'flour base', 'tomato sauce', 'sugar']","['pizzas', 'lots', 'carbs', 'flour', 'base', 'sugar', 'tomato', 'sauce']",regular pizzas contain lots of carbs from their flour base and sugar from the tomato sauce.,informationanddefinition,Can I eat pizza?,[],['pizza'],['pizza']
360,"Although salted popcorn doesn’t have any sugar added to it, It is still very high in carbs. With that in mind it’s best not to overindulge in popcorn. However, there are a few low-er carb versions available in stores like Tesco. It’s Just a case of checking the label. ","['salted', 'high']","['popcorn', 'sugar', 'carbs']","['popcorn', 'sugar', 'carbs']","although salted popcorn doesn’t have any sugar added to it, it is still very high in carbs.",informationanddefinition,Can I eat popcorn?,[],['popcorn'],['popcorn']
361,"When going to Subway, you’re best to stay away from the actual Submarine sandwiches. Instead, try the subways salads. These are essentially subs without the bread. The lowest carbohydrate salads are the tuna salad, veggie delight salad, chicken salad and turkey salad, nearly all the options bar the meatballs and any glazed meat options are relatively low in carbs. Make sure to be aware of the sauces you use as these can contain lots of sugar. The best option is mayonnaise as it is void of sugar.","['best', 'actual']","['subway', 'submarine sandwiches']","['subway', 'submarine', 'sandwiches']","when going to subway, you’re best to stay away from the actual submarine sandwiches.",informationanddefinition,Can I eat at Subway?,[],['Subway'],['Subway']
362,"When going to Burger King, your best low carb options are the beef burgers without buns. The problem with the chicken burgers is that they’re breaded or battered in flour which adds a lot of carbs. My go to meal at Burger King is a double whopper with no bun or ketchup and a garden side salad. This works out at Calories: 615, Protein: 39g, Carbohydrates 5g, Sugar: 3 g, Fat: 48g, Saturated Fat: 17g, Trans Fat: 0g, Sodium: 480mg.","['best', 'low']","['carb options', 'burger king', 'buns']","['burger', 'king', 'carb', 'options', 'beef', 'burgers', 'buns']","when going to burger king, your best low carb options are the beef burgers without buns.",informationanddefinition,Can I eat at Burger King?,[],['Burger King'],"['Burger', 'King']"
363,"When going to McDonalds your best low carb options are the beef burgers without buns. The problem with the chicken burgers is that they’re breaded or battered in flour which adds a lot of carbs. My go to meal at McDonalds is the Big tasty with bacon without the bun and big tasty sauce and a grilled chicken and bacon salad. This works out at Calories: 698, Protein: 65g, Carbohydrates 10.5g, Sugar: 6.8 g, Fat: 43g, Saturated Fat: 20g, salt: 3.3g.","['best', 'low']","['carb options', 'mcdonalds', 'buns']","['mcdonalds', 'carb', 'options', 'beef', 'burgers', 'buns']",when going to mcdonalds your best low carb options are the beef burgers without buns.,informationanddefinition,Can I eat McDonalds?,[],['McDonalds'],['McDonalds']
364,"Unlike McDonalds and Burger King, KFC don’t do beef burgers so the option to eat a bun-less beef is out of the question. And also unlike the other two fast food chains, With 17 grams of carbs and 11 grams of sugar in a plain salad pot, This is also out of the question. In terms of low carb meals the 6 hot wing meal, with no fries may be the best option, although it is still breaded so isn’t void of carbs.",['bun-less'],"['mcdonalds', 'kfc', 'burger king', 'beef burgers', 'option', 'question', 'beef']","['mcdonalds', 'burger', 'king', 'kfc', 'beef', 'burgers', 'option', 'beef', 'question']","unlike mcdonalds and burger king, kfc don’t do beef burgers so the option to eat a bun-less beef is out of the question.",informationanddefinition,Can I eat KFC?,[],['KFC'],['KFC']
365,"When going to Nando’s, there are quite a few different low carb options. My go to meal at Nando’s is the hot ½ chicken with a salad and some grilled haloumi. This contains around 4.4 grams of carbs and virtually no sugar. Other low carb options include the chicken wings, butterfly chicken, drumsticks and thighs. ","['few', 'different', 'low']",['options'],"['carb', 'options']","when going to nando’s, there are quite a few different low carb options.",informationanddefinition,Can I eat Nando’s?,[],"[""Nando's""]",['Nando']
366,"When eating at a pub, I usually order a steak with some garlic butter on top. Then swap the chips and peas for a side salad. If I’m feeling extra hungry I’ll ask for a few eggs to be added also.",[],"['pub', 'steak', 'garlic butter', 'top']","['pub', 'steak', 'garlic', 'butter', 'top']","when eating at a pub, i usually order a steak with some garlic butter on top.",informationanddefinition,Can I eat at a pub?,[],['pub'],['pub']
367,"The Low Carb Program looks to stay away from dried fruit as it contains lots of fructose, the type of sugar found in fruit. What’s worse with dried fruit is as the water has been taken out the fruit shrinks, meaning more will be consumed than if the fruit was fresh. In turn, this results in an increased amount of sugar consumed.",['low'],"['program', 'fruit', 'lots', 'fructose', 'sugar', 'fruit', 'type']","['carb', 'program', 'fruit', 'lots', 'fructose', 'type', 'sugar', 'fruit']","the low carb program looks to stay away from dried fruit as it contains lots of fructose, the type of sugar found in fruit.",informationanddefinition,Can I eat dried fruit?,[],['dried fruit'],['fruit']
368,"Despite still being synonymous with health, granola bars are full of sugar and will spike your glucose levels. Even be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit.","['synonymous', 'full']","['health', 'granola bars', 'sugar', 'glucose levels']","['health', 'granola', 'bars', 'sugar', 'glucose', 'levels']","despite still being synonymous with health, granola bars are full of sugar and will spike your glucose levels.",informationanddefinition,Can I eat granola bars?,[],['granola bars'],"['granola', 'bars']"
369,"Despite still being synonymous with health, breakfast bars are full of sugar and will spike your glucose levels. Also, be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit.","['synonymous', 'full']","['health', 'breakfast bars', 'sugar', 'glucose levels']","['health', 'breakfast', 'bars', 'sugar', 'glucose', 'levels']","despite still being synonymous with health, breakfast bars are full of sugar and will spike your glucose levels.",informationanddefinition,Can I eat breakfast bars?,[],['breakfast bars'],"['breakfast', 'bars']"
370,"Despite still being synonymous with health, Nature Valley bars are full of sugar and will spike your glucose levels. Also, be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit.","['synonymous', 'full']","['health', 'nature valley bars', 'sugar', 'glucose levels']","['health', 'nature', 'valley', 'bars', 'sugar', 'glucose', 'levels']","despite still being synonymous with health, nature valley bars are full of sugar and will spike your glucose levels.",informationanddefinition,Can I eat Nature Valley bars?,[],"['Nature Valley', 'bars']","['Nature', 'Valley', 'bars']"
371,"Despite still being synonymous with health, cereal bars are full of sugar and will spike your glucose levels. Also, be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit.","['synonymous', 'full']","['health', 'cereal bars', 'sugar', 'glucose levels']","['health', 'cereal', 'bars', 'sugar', 'glucose', 'levels']","despite still being synonymous with health, cereal bars are full of sugar and will spike your glucose levels.",informationanddefinition,Can I eat Cereal bars?,[],['Cereal bars'],"['Cereal', 'bars']"
372,"Despite still being synonymous with health, flapjacks are full of sugar and will spike your glucose levels. Also, be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit.","['synonymous', 'full']","['health', 'flapjacks', 'sugar', 'glucose levels']","['health', 'flapjacks', 'sugar', 'glucose', 'levels']","despite still being synonymous with health, flapjacks are full of sugar and will spike your glucose levels.",informationanddefinition,Can I eat flapjacks?,[],['flapjacks'],['flapjacks']
373,"Despite still being synonymous with health, muesli bars are full of sugar and will spike your glucose levels. Even be weary of the “no added sugar” type as these may still be hiding copious amounts of sugar via dried fruit.","['synonymous', 'full']","['health', 'muesli bars', 'sugar', 'glucose levels']","['health', 'muesli', 'bars', 'sugar', 'glucose', 'levels']","despite still being synonymous with health, muesli bars are full of sugar and will spike your glucose levels.",informationanddefinition,Can I eat muesli bars?,[],['muesli bars'],"['muesli', 'bars']"
374,"Most popular ketchup brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy.","['popular', 'large']","['ketchup brands', 'amounts', 'sugar']","['ketchup', 'brands', 'amounts', 'sugar']",most popular ketchup brands contain large amounts of sugar and should be avoided.,informationanddefinition,Can I eat ketchup?,[],['ketchup'],['ketchup']
375,"Most popular sweet chilli sauce brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy.","['popular', 'sweet', 'large']","['sweet chilli sauce brands', 'amounts', 'sugar']","['chilli', 'sauce', 'brands', 'amounts', 'sugar']",most popular sweet chilli sauce brands contain large amounts of sugar and should be avoided.,informationanddefinition,Can I eat sweet chilli sauce?,['sweet'],['sweet chilli sauce'],"['chilli', 'sauce']"
376,"Most popular brown sauce brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy.","['popular', 'brown', 'large']","['brown sauce brands', 'amounts', 'sugar']","['sauce', 'brands', 'amounts', 'sugar']",most popular brown sauce brands contain large amounts of sugar and should be avoided.,informationanddefinition,Can I eat brown sauce?,['brown'],['brown sauce'],['sauce']
377,"As mayonnaise is low in sugar and carbs, it can be consumed without the worry of it impacting your blood glucose levels.",['low'],"['mayonnaise', 'sugar', 'carbs', 'worry', 'blood glucose levels']","['mayonnaise', 'sugar', 'carbs', 'worry', 'blood', 'glucose', 'levels']","as mayonnaise is low in sugar and carbs, it can be consumed without the worry of it impacting your blood glucose levels.",informationanddefinition,Can I eat mayonnaise?,[],['mayonnaise'],['mayonnaise']
378,"Most popular pasta sauce brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy.","['popular', 'large']","['pasta sauce brands', 'amounts', 'sugar']","['pasta', 'sauce', 'brands', 'amounts', 'sugar']",most popular pasta sauce brands contain large amounts of sugar and should be avoided.,informationanddefinition,Can I eat pasta sauce?,[],['pasta sauce'],"['pasta', 'sauce']"
379,"Most popular BBQ sauce brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy.","['popular', 'large']","['bbq sauce brands', 'amounts', 'sugar']","['bbq', 'sauce', 'brands', 'amounts', 'sugar']",most popular bbq sauce brands contain large amounts of sugar and should be avoided.,informationanddefinition,Can I eat BBQ sauce?,[],['BBQ sauce'],"['BBQ', 'sauce']"
380,"Hot sauce is usually quite low in carbs and sugar, if not completely void. That being said, make sure to check the label before consumption.","['hot', 'low', 'void']","['hot sauce', 'carbs', 'sugar']","['sauce', 'carbs', 'sugar']","hot sauce is usually quite low in carbs and sugar, if not completely void.",informationanddefinition,Can I eat hot sauce?,['hot'],['hot sauce'],['sauce']
381,"As gravy is usually made from the juice of meat, it is low in carbs and fine to consume. However, store brought gravy and restaurant gravy may have added carbs and sugar. It would be best to check the nutrient label or ask.","['low', 'fine']","['gravy', 'meat', 'juice', 'carbs']","['gravy', 'juice', 'meat', 'carbs']","as gravy is usually made from the juice of meat, it is low in carbs and fine to consume.",informationanddefinition,Can I eat Gravy?,[],['Gravy'],['Gravy']
382,"Sriracha sauce is usually void of carbohydrates and sugar completely. However, it may be best to check the label before you buy a bottle to check sugar hasn’t been added.",['void'],"['sriracha sauce', 'carbohydrates', 'sugar']","['sriracha', 'sauce', 'carbohydrates', 'sugar']",sriracha sauce is usually void of carbohydrates and sugar completely.,informationanddefinition,Can I eat Sriracha sauce?,[],['Sriracha sauce'],"['Sriracha', 'sauce']"
383,"Tabasco sauce is usually void of carbohydrates and sugar completely. However, it may be best to check the label before you buy a bottle to check sugar hasn’t been added.",['void'],"['tabasco sauce', 'carbohydrates', 'sugar']","['tabasco', 'sauce', 'carbohydrates', 'sugar']",tabasco sauce is usually void of carbohydrates and sugar completely.,informationanddefinition,Can I eat Tabasco sauce?,[],"['Tabasco', 'sauce']","['Tabasco', 'sauce']"
384,"Chilli sauce is usually void of carbohydrates and sugar completely. However, it may be best to check the label before you buy a bottle to check sugar hasn’t been added.","['chilli', 'void']","['chilli sauce', 'carbohydrates', 'sugar']","['sauce', 'carbohydrates', 'sugar']",chilli sauce is usually void of carbohydrates and sugar completely.,informationanddefinition,Can I eat chilli sauce?,[],['chilli sauce'],"['chilli', 'sauce']"
385,Gummy vitamins are usually full of sugar and should be avoided.,"['gummy', 'full']","['vitamins', 'sugar']","['vitamins', 'sugar']",gummy vitamins are usually full of sugar and should be avoided.,informationanddefinition,Can I eat gummy vitamins?,['gummy'],['vitamins'],['vitamins']
386,"Most popular salad dressing brands contain large amounts of sugar and should be avoided. However, there are some low sugar option available at stores like Tesco, just make sure to check the label before you buy.","['popular', 'large']","['salad dressing brands', 'amounts', 'sugar']","['salad', 'dressing', 'brands', 'amounts', 'sugar']",most popular salad dressing brands contain large amounts of sugar and should be avoided.,informationanddefinition,Can I eat salad dressing?,[],['salad dressing'],"['salad', 'dressing']"
387,"Yoghurt is made using lactose, a naturally occurring sugar. But some yoghurts contain added sugar, particularly those which are fruit-flavoured, with fat-free yoghurts particularly likely to be high in sugar. Activia’s Strawberry Yoghurt (125g) is just 5% fat, but includes 17g of sugar. Plain yoghurt is usually lower in sugar than fruit-or vanilla-flavoured versions, but make sure you are vigilant when looking at yoghurt labels.",[],"['yoghurt', 'lactose', 'sugar']","['yoghurt', 'lactose', 'sugar']","yoghurt is made using lactose, a naturally occurring sugar.",informationanddefinition,Can I eat yoghurt?,[],['yoghurt'],['yoghurt']
388,"Smoothies contain very high amounts of sugar and aren’t ideal whilst trying to keep your blood glucose levels stable. You can blend vegetables and a small amount of berries to make a low carb smoothie, but unless you have a very high power blender they may come out lumpy and thick due to the fibrous material being blended.","['high', 'ideal', 'stable']","['smoothies', 'amounts', 'sugar', 'blood glucose levels']","['smoothies', 'amounts', 'sugar', 'blood', 'glucose', 'levels']",smoothies contain very high amounts of sugar and aren’t ideal whilst trying to keep your blood glucose levels stable.,informationanddefinition,Can I make smoothies?,[],['smoothies'],['smoothies']
389,"Corned beef is usually low in carbs and sugar making it an excellent selection. However, it is always worth checking the labels to see if any sugar has been added.","['corned', 'low', 'excellent']","['beef', 'carbs', 'sugar', 'selection']","['beef', 'carbs', 'sugar', 'selection']",corned beef is usually low in carbs and sugar making it an excellent selection.,informationanddefinition,Can I eat corned beef?,['corned'],['beef'],['beef']
390,"The two best in my opinion are cauliflower rice and courgetti (courgette spaghetti). Cauliflower rice is super simple to make. Simply grate a cauliflower into small rice sized pieces (or you can use a food processor). Then transfer the rice to an absorbant towel or some kitchen roll and squeeze/ press the excess moisture out. Then simply sauté the rice on a medium heat until soft. Delicious. For Courgetti, use a spiralizer or peeler to cut the courgette into spaghetti like strips. Then fry for a minute on a pan with olive oil or coconut oil. After a minute add a few tablespoons of water and some salt/ pepper. Cook for another 4 minutes, or until soft. Alternatively, Holland and Barret, Myprotein and a few other health stores sell carb free pastas and spaghetti but as I havent tried any of them I cannot advocate their use. ",['best'],"['cauliflower rice', 'courgetti', 'opinion', 'courgette spaghetti']","['opinion', 'cauliflower', 'rice', 'courgetti', 'courgette', 'spaghetti']",the two best in my opinion are cauliflower rice and courgetti (courgette spaghetti).,informationanddefinition,Are there any low carb pasta alternatives?,['low'],['pasta alternatives'],"['carb', 'pasta', 'alternatives']"
391,The Low Carb Program is an excellent dietary strategy for weight loss. One of the best things about a low carb high fat diet is that there is absolutely no need to focus on calorie consumption. Simply eat until you feel full and thats that. Thousands of members have been able to permanently lose fat whilst becoming much healthier in the process.,"['low', 'excellent', 'dietary']","['strategy', 'weight loss']","['carb', 'program', 'strategy', 'weight', 'loss']",the low carb program is an excellent dietary strategy for weight loss.,informationanddefinition,Can I follow this program to lose weight?,[],"['program', 'weight']","['program', 'weight']"
392,"Look to consume lots of non-starchy vegetables such as Brussels sprouts, Cabbage, Choy, Kale, Lettuce, Rocket, Spinach, Watercress, Carrots, Celeriac, Radishes, Swede. Turnip, Courgettes, Cucumber, Squash, Asparagus, Celery, Leeks, Spring Onions, Aubergine, Broccoli, Cauliflower, Mushroom and Peppers.","['non-starchy', 'such']","['lots', 'vegetables', 'kale', 'brussels sprouts', 'cabbage', 'lettuce', 'rocket', 'carrots', 'celeriac', 'radishes', 'swede', 'spinach', 'watercress']","['lots', 'vegetables', 'brussels', 'sprouts', 'cabbage', 'kale', 'lettuce', 'rocket', 'spinach', 'watercress', 'carrots', 'celeriac', 'radishes', 'swede']","look to consume lots of non-starchy vegetables such as brussels sprouts, cabbage, choy, kale, lettuce, rocket, spinach, watercress, carrots, celeriac, radishes, swede.",informationanddefinition,Which vegetables should I eat?,[],['vegetables'],['vegetables']
